,TB-000005-D1WPLL,TB-000018-D1WBLL,TB-000023-D1WBLL,TB-000025-D1WBLL,TB-000038-D1WBLL,TB-000042-D1BBLL,TB-000048-D1BBLL,TB-000048-D1WBLL,TB-000054-D1WBLL,TB-000071-D1WPLL,TB-000115-D1WPLL,TB-000174-D1WPLL,TB-000177-D1WBLL,TB-000191-D1WBLL,TB-000192-D1WBLL,TB-000195-D1WBLL,TB-000203-D1WBLL
AFTPH,14,7.05953004870195,24,28,7,5,14,29,5,3490.7043589396,3419.27465092486,2810.28609379466,5144.04916324098,5410.68779452917,3615.43914912016,5055.62591610074,4211.70154840438
KLHL28,12.2066169428073,7.0299691124262,17.0196674216273,4.02368246575877,16.0425243790458,22.7690248461508,20.3698929349221,9.01542153915468,14.0137949613459,2329.43577857903,2317.15102767595,1238.49849181553,1769.33492900292,3135.84576322848,2845.7731193056,3151.40733896057,4368.11846951145
QPCTL,36.9418017907291,36.6332387869044,69.1799998374042,66.2958836235796,54.8677011580645,35.6728496014728,42.0898538695533,46.536640789483,57.273923553581,439.085275888323,359.501401246837,318.503803938927,286.208799728215,505.94397198218,352.600100566793,202.204247786351,327.088940533058
GATAD2A,26.3759376946173,72.3816593722872,72.4626473437924,54.7552303446568,30.3351152340573,27.0524836224311,46.3310065147569,66.5828965229556,18.8531198604424,5420.59049568867,4503.15824430185,5731.41000751178,4349.99644568127,5913.58279398679,6377.61020827497,3613.09990818886,5514.14445656703
ZCCHC10,30.0487757855859,17.5504108751586,20.1919521192808,45.2979596084175,15,26.3675433515949,25.2123984843151,13,16,1015.06036590515,1457.00619389639,847.092171021773,1503.72285666216,2317.89427371202,1184.54575456563,1921.86547680608,1550.53993775206
NDE1,70.3447401788829,110.785131350732,181.975912726084,151.299490208167,73.9932731234189,106.611140438162,83.0004070302613,112.285084774417,64.6855940910353,8833.88123358925,3775.63967138641,4069.92091898973,4800.16549980035,6653.2868288908,4900.46166102602,3932.19477495909,4559.37898365888
ERCC6L,103,39,247,123,164,20,176,156.50416545594,118,209,221,436,1007.2705806117,864,1138,289.16639460833,635.605592410474
TRPM7,79.7384033713853,102.667129694238,137.452714211912,120.214834484364,121.378236513887,105.732119223292,117.210605687132,110.082313355771,79.6582704522993,13699.8822525342,11212.1302879861,10086.6499252269,11933.3980241281,15802.0222055388,11927.2994853959,12882.4640992249,12311.3738664575
SWT1,87,97,78,68,46,62,53,59,40,1331,1030,582,911,1017,1981,1319,2624
CDHR2,36,64,67,42,18,49,88,95,60,45,66,53,71,54,71,43,49
GIN1,15.1384198003743,22.1378613121148,9.0871257519442,17.105954064919,24.0687755258179,20.31403392891,19.2861901559607,6.07865572693858,10.1330681088306,263.338354979856,308.864402721197,320.686589103099,565.444854201593,322.739896087085,405.068181558554,415.391195732341,483.15542367912
NXPE4,0,13,2,2,0,0,0,4,1,0,0,0,0,0,0,1,1
BCAS3,76.0012681830551,61.4929772485864,59.2464884443243,66.0015045066456,75.8515206688169,52.2970120921868,84.2459652478813,62.2393546917389,32.6508098132707,1101.07134746815,780.728208272878,1190.67933001431,1044.02650264869,1132.7653307111,989.747590508569,1165.71933102285,1609.32339427292
ASPN,88.4997633625567,106,97.425886358145,59.2801559790008,87.2666066668446,38.2260158254254,135.572503721929,167.365277418017,148,0,7.30456275516652,0,15.2896277941088,4.01607139287981,9.11243379599084,10.2102183824491,2.68079956664086
NUP62CL,0,1,18,19,4,0,2,2,0,3,24,9,22,4,6,52,37
BEST2,31.5500482458752,18.5969693342804,28.0475606649333,21.601881302046,14.1958293127202,24.8479360346886,55.2372792644389,47.5337667987225,34.8161379924583,30.1218422927162,9.42070759848075,3.012656704967,24.7748366090856,14.6790495567714,21.0171965534688,20.5585117394833,15.2751174962993
SSX4,1.24750853574843,0.527769392082658,0,0,0,0,0,0,0,0,0.5,0,0,0,6,0,87.7782484784347
SSX4B,1.24750853574843,0.527769392082658,0,0,0,0,0,0,0,0,0.5,0,0,0,6,0,87.7782484784347
VPS13C,36.4189600496863,18.4300469037285,47.4437982297757,30.4726133863309,57.5428762844981,19.6348074629204,24.5643739857152,39.7972799068917,16.6141885265392,34086.5802626816,23007.734605875,27829.5111880776,27657.970280814,35119.4330673198,26579.1225236665,32817.2781757988,36320.3763220915
GDAP2,38.324984235605,28.4962121977494,46.2781080665111,40.0338681128543,39.997619539585,29.3406071040251,30.3960780210299,46.2054485046625,23.0032903969474,1895.85950049405,1947.32559372916,1720.15820570437,2526.59498542541,2259.96998275317,3282.2732728794,1904.65566168518,2225.45699102218
BSPRY,16,25,31,57,40,30,24,10,27,576,768,1074,986,726,169,135,104
WBP1L,56.0749583402054,106.180196948368,171.652358947191,204.610209459543,68.7839550571551,114.633218409877,153.732921093422,105.619266992846,120.102287455888,1571.04666225589,1901.55066972782,1953.72757312631,2405.6227298572,4498.95343502007,8738.13503945844,1768.49579721687,5636.25694116524
LRRC49,19.539322856869,10.7511063431972,39.5578742856593,22.4494285850873,11.179915513813,6.06891082667271,8.36793406184976,24.5252686223078,19.9631797751086,25.3437506270164,18.836108829638,26.117109306658,41.0591265386567,11.1810143001671,21.2122020821506,27.2371630849818,23.380113026553
APTX,250.462795097575,254.16210046563,386.280755746025,314.300866803456,297.283211268728,402.382426110149,306.14119381003,260.059779193751,237.984878153362,1579.66638381704,1008.92535033759,1571.01471945135,2298.79494154646,1819.47344631415,1745.73327725664,1814.83939710267,2021.29085381767
BIVM,311.659569296079,325.846769798396,461.742231855815,348.792263085151,492.696640377289,344.900581920422,497.489133183884,471.544660202894,276.981569116351,169.303242434889,247.033915369307,217.218541281063,845.068514503899,196.03979807362,486.291280575846,488.079957863646,239.715263052348
MFSD6,256,143.076684659815,283.046303533748,227.170316703971,188.08446970188,149,366.02989998111,361,157.030449113237,3808.57574401612,2046.67497534571,2950.97754570601,2592.9932009246,2886.41369702322,908.275143199058,2211,1801.65587057333
SYTL2,7.57891197747721,13.9504156590341,11.3972365846348,8.73455353881933,16.0958527907354,5.15638649234693,23.4565468148527,19.5507846343853,3.21924740088217,786.129705425242,4333.10047942326,552.761330462405,254.572518596175,1204.16962489786,4653.83985610471,1998.35756540536,1220.53356592912
ESRP1,3.20702725672766,7.19207000592166,0.387742100331943,3.87883263609745,1,6.67970982936825,1.01959493971423,2.98216326265103,1.32343026267624,0,0,0,6.10789350743972,1.07096516162613,3,6.00705865940251,0
SIDT1,74.220917156614,100.102752886896,123.08525072269,119.154217509473,97.4968623369937,101.157884881362,105.607279114952,82.5651057281268,66.0827202932924,1990.56160006841,1370.26455229517,1415.01493485144,2527.28585663878,3311.34317203194,5751.1097475984,2832.57815355089,2704.38458479441
ARHGEF38,10.472316591505,13,18.3014087333564,7.07177268186726,12.1924045376731,17,8.26017233841942,15,10.0987408864336,14,1,6,9,12,3,5,1
DEF8,27.5638458025963,60.4884863622378,27.6705914804043,40.157955926675,24.5881195175018,6.14525714628468,24.4749928291268,52.4737732305655,21.7317089836368,3378.01901953587,387.126427685322,3038.37179397815,1967.0156764763,2096.06612050641,1584.74212319419,800.854939968181,970.4292393505
FBXL12,19.8432664148591,14.6750265954235,25.6829331881564,26.7760782280009,19.6969324607613,22.7181471184031,28.2702192261111,19.3846980795305,16.1868738666167,1543.52688311409,1219.17850352482,1162.76007695996,657.729008533349,1628.87029513936,1717.29017583842,993.25978606436,1899.88573381598
ANKRD49,8,5,1,3,2,4,0,1,0,2765,2205,2083,2461,3357,3067,5637,3974
PAQR5,23.8708617843993,38.0299185629239,38.822204566078,32.9108365198851,26.5729134909126,37.8977346592152,33.0296771980381,32.9930316756873,26.4914739533112,52.2604249120646,37.9523260793896,47.0026530498894,90.3176013324179,84.7339314070894,226.04626817884,93.5345705531007,95.421850538684
WDR55,192.488718070133,104.014239316624,136.880448422968,115.34977357149,203.71919475989,111.708163386575,138.163375736202,133.964045179262,132.597627239883,935.093174099263,2364.2384018228,1053.16966385819,1089.8026790582,1190.18528311037,1614.06208587634,775.775331244903,1042.823159553
FAM83E,0,0,0,0,3,0,0,2,0,98,64,60,42,98,200,32,44
FAM46C,3.01424359873228,1.00713932332773,1,3,1.00388677146889,2.0369601672595,0,2.00534081175958,1.01643733244561,6614.55445776354,20528.1915037226,5345.13930025936,2625.35804865171,6059.32922908185,4157.56196876695,15916.507394408,29107.7957317277
GON4L,280.347617903386,186.839908342445,351.135486501767,299.606756021085,382.142707222315,199.254440396455,215.008502302088,203.536131965984,308.379761496,7444.02439275669,5040.553090186,4770.25827344816,7452.53082569255,7172.64904964536,6788.71195081154,6604.50440780055,7161.14745473049
GDPD2,28.0475858803996,15.0124234633927,26.565727354372,20.2864329892107,6.10647550932003,43.0653507306494,15.0895271079166,11.0193402025685,6.15364756608463,17.0120768424153,9.02599655968426,6.0041351718344,29.0162403718731,25.0261546731566,22.0692306556325,9.01178117807452,8.00274427367355
PGPEP1,118.485377368212,109.58266441586,145.442431793856,140.089459566558,140.442625051797,114.08798107982,154.002011014049,129.203761297225,102.496020192667,302.544464173009,1347.63984488311,398.234967711523,632.103875313888,500.848963485478,1536.48005516275,1073.13465258814,1396.27645933839
ELP6,19.7065764540974,18.9582824214112,35.5480736237986,31.0875112856265,14.9437259046856,17.0465112754589,16.3152459896028,18.8881688105365,13.9507078944472,680.595905147062,558.234758512048,1005.05349802434,1221.94356486811,1103.43240763571,955.54140763593,356.266062005553,833.049012175102
SLX1A,26.8769034637276,14.0688343078346,22.1270319383843,28.4777673388261,9.78869853204696,4,16.9948548588968,17.5496797783469,21.3821940549527,903.727139850445,588.003986355824,837.944501355563,472.961600407584,608.884159419779,921.04177996544,244.833591422046,751.741914620597
CKMT1A,1,4.3424187111975,0,0,0,2,0,0,0,2,0,0,6,0,0,4,0
MS4A12,0,0,1,3,2,0,0,0,7,0,0,0,2,0,0,1,0
SNRK,59.9345805072548,85.5417360094986,116.605286953046,69.5847717433524,72.9230000903307,45.0755131142996,48.9969075829606,35.0661910329216,42.2882928890046,12678.598648463,7532.14940419901,9048.37967756504,9496.88543313643,12741.42399333,19039.6264919817,21293.8644350429,27230.2969595286
CC2D1A,51.5030670861288,48.3725903306953,86.2605434804799,58.5505305328179,33.8651341934914,32.4662803867809,60.9156675695689,49.0298529822943,27.7225838206903,1069.24852048568,1231.28177900827,1297.46266809608,1567.22208984394,1885.07595086242,1421.60243235495,576.014238904695,1203.36103316663
TOR4A,4.15972000032242,1.02297294823081,5.05396822865306,6.03916517918644,2.01801560229333,15.0181294291114,1.03637670421799,2.00359617009475,5.04986524183187,154.064160206922,211.45391357617,280.618328373259,680.615287580917,230.645063032337,260.856545244195,91.5718426320663,344.474216799075
POLR2J3,195.377751796167,181.238289858552,282.300898113426,246.938123443801,216.639374613459,205.909578229056,237.264082885512,227.79611677403,169.974823611821,4155.35632323664,2706.27675997805,3469.7846513355,4606.92319178843,5089.54369664407,4700.79765980562,3753.92620528248,3397.30383466605
DNAJC25,1,0,0,0,3,0,0,0,0,702.597488092299,512,330,624,1013,740.659034373312,792.426423236515,776
GPATCH4,80,70.3092855714288,119,87,129,31.1973523773068,96.4072330487565,109,100,798,607.849570659967,729,1986,321,1160,984,432
PPP1R14D,13,12.2243293751887,4.02576208600308,5.0092926989991,3,6,8,2,2,0,1,0,0,4,0,4,1
TMEM214,4,2,1,2,1,3,2,1,2,1017,637,692,1731,1445,1774,696,887
TMEM104,2.01029017829543,4.05426841528405,10.0198261257217,4.08775542041732,5.00577894375743,1.01219983349737,5.03476773349487,9.19231588664171,3.00244866477982,798.474982017627,862.980035144486,558.351377456115,887.757135122308,547.980424530292,418.345672434235,242.768421545705,367.353815042869
EPS8L1,33,23,134,83,35,22,77,75,48,19,8,8,9,39,41,20,245
QRICH1,50.3696170063226,73.8757147777727,58.9307745774394,73.6052461952749,76.652850133007,123.890319176786,70.4983381327669,50.3718159127787,33.2784102142968,8557.61354014429,9337.48380248125,7249.51970583286,8639.81591805887,11002.5944294982,9331.72285302425,11550.6097059236,11428.4832667807
PIGG,37.4283708772512,42,61.8192221120247,44.3956322676197,51.064533355197,55.3778180999023,56,76.4766222089889,41.3865426275554,3406.72692293104,2625.02769119796,2655.94814899075,1674.08221150277,2841.52460345611,4796.47851566154,3694.72705648315,4514.2422536591
PALMD,33.0199619674534,11,36,39,40,10,25.0153459420122,33.02757704761,12,21.3198514848356,40.5225324396863,27.3757474766712,46.4598364093477,28.2528208406458,38.5623539243694,40.1586258241516,23
FNBP1L,8,22.9999982547852,12,12,18,10,4,11,17,728.850017217219,579.425079560795,215.937375806522,103.686301360312,1344.02705431451,3215.40746585052,1842.71227907414,2441.20276766524
CNTLN,80.2119659353423,78.2891194127395,97.8748677003932,92.5284074198824,148.162788626136,148.176661483807,134.913094962735,122.436396023492,80.9639768738644,2534.00343465268,1254.28512203013,1685.21534409351,2234.25275477624,3086.22049275735,2236.62125943027,2166.979808032,3701.26711549619
DCAF16,106.992466016949,51.2653600409988,70.0751559148693,50.1828510113757,68.0319248358986,39.7705527074236,57.3253534528417,47.5847137965892,47.5480005856017,6865.06078554843,4940.81051614647,5024.80623032874,3043.78799416646,8462.25280007639,10878.301724698,10917.416245238,11693.3059925074
ZCCHC2,7.35917280483051,1.15816197647249,12.3709949775272,9.18213679167245,2.24535774184923,1.4421662506972,3.39424175136939,7.94537332252942,2,3525.65710733063,3932.17324806814,3047.23675075431,2520.58190689583,2186.5518937605,4930.84695138968,4071.80024573137,3478.63688706122
DPP8,7.05538897414756,10.0132296925013,15.1105207724561,8.16720277296948,13.3691569301452,15.1053217484122,6.10451380296851,10.0787382866514,11.0716037519235,6098.42763496924,4310.09787445627,4331.05423817797,5219.18626280148,6428.02351891086,6753.76583009806,5648.47880742595,5872.60388146312
ST7L,282.760692956204,303.278941465334,569.583177888121,580.932344369941,242.083406625698,403.975890973595,333.158834234101,256.189596545128,261,1509.20891095657,1050.96217438237,938.577585293819,1426.8953494273,1229.69674107689,1711.26608169856,1126.84533299942,1947.54278775244
BCOR,25.2150733899667,37.1136115329693,61.2997913464739,45.0234844534474,47.6769007644319,28.9081259701877,41.4947553310052,28.1795987757942,35.1301894392104,3248.72992667156,2294.13603664076,3329.1950604543,3327.66668519144,4179.6622542616,4339.57026334534,1900.16725375895,3366.21313556033
